,Unnamed: 0,aimAction,aimPlayerGridList,avoidCommitPoint,conditionName,crossPoint,decisionSteps,goal,name,noiseNumber,noisePoint,obstacles,playerGrid,reactionTime,target1,target2,targetDiff,trajectory,participantsType,trajLength,goalPosteriorList
9,9,"[(1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0)]","[(1, 14), (2, 14), (2, 13), (1, 12), (2, 11), (2, 10), (2, 9), (2, 8), (2, 7), (2, 6), (2, 5), (3, 5), (4, 5), (5, 5)]","(4, 10)",expCondition1,"(5, 9)",6,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0]",yujiahui-f-19,2,"[3, 4]","[(3, 11), (0, 10), (1, 11), (5, 11), (3, 9), (3, 13), (4, 14), (10, 14), (11, 9), (13, 10), (9, 3), (8, 1), (8, 3), (6, 8), (1, 1), (2, 3), (10, 11), (2, 4)]","(0, 14)","[762, 920, 1118, 1424, 1783, 1946, 2102, 2233, 2375, 2518, 2646, 2844, 2995, 3132]","(5, 5)","(9, 9)",0,"[(0, 14), [1, 14], [2, 14], [1, 13], [2, 12], [2, 11], [2, 10], [2, 9], [2, 8], [2, 7], [2, 6], [2, 5], [3, 5], [4, 5], [5, 5]]",Human,15,"[0.5, 0.4998850536326097, 0.4961543031894645, 0.4961543031700705, 0.5012177411234555, 0.90187205713458, 0.9018720571353424, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
12,12,"[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]","[(1, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (2, 10), (3, 11), (3, 12), (4, 12), (5, 12), (6, 12)]","(4, 4)",expCondition2,"(6, 6)",6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 0, 0, 0]",yujiahui-f-19,2,"[7, 13]","[(3, 3), (4, 0), (3, 1), (3, 5), (5, 3), (1, 3), (0, 4), (3, 6), (6, 3), (12, 9), (11, 7), (12, 7), (9, 12), (10, 12), (13, 11), (13, 4), (13, 2), (11, 11)]","(0, 0)","[855, 1005, 1463, 1622, 1753, 1890, 2032, 2158, 2300, 2442, 2590, 2736, 2880, 3028, 3178, 3481, 3644, 3760]","(12, 6)","(6, 12)",0,"[(0, 0), [1, 0], [2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [2, 9], [3, 10], [3, 11], [3, 12], [4, 12], [5, 12], [6, 12]]",Human,19,"[0.5, 0.49994579799985994, 0.4983732618512576, 0.4983732729419968, 0.49837327607483906, 0.7346207045763559, 0.7346207147331238, 0.9999999999999998, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
13,13,"[(1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0)]","[(3, 14), (4, 14), (5, 14), (6, 14), (6, 13), (6, 12), (6, 11), (7, 11), (8, 11)]","(2, 13)",expCondition1,"(3, 11)",0,"[0, 2, 2, 2, 0, 0, 0, 2, 2]",yujiahui-f-19,0,[],"[(1, 13), (3, 13), (1, 11), (10, 1), (5, 7), (4, 2), (9, 4), (12, 2), (11, 3), (9, 14), (10, 13), (8, 4), (0, 11), (0, 12), (13, 6), (6, 5), (7, 8), (4, 5)]","(2, 14)","[629, 982, 1147, 1346, 1465, 1879, 2086, 2278, 2447]","(3, 6)","(8, 11)",0,"[(2, 14), [3, 14], [4, 14], [5, 14], [6, 14], [6, 13], [6, 12], [6, 11], [7, 11], [8, 11]]",Human,10,"[0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
15,15,"[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]","[(1, 14), (2, 14), (3, 14), (4, 14), (5, 14), (4, 14), (5, 14), (6, 14), (7, 14), (8, 14), (8, 13), (8, 12), (8, 11), (8, 10)]","(2, 12)",expCondition2,"(4, 10)",2,"[0, 0, 0, 0, 2, 0, 2, 2, 2, 2, 0, 0, 0, 0]",yujiahui-f-19,1,[5],"[(1, 13), (3, 13), (1, 11), (4, 13), (1, 10), (3, 5), (10, 4), (13, 1), (12, 9), (9, 2), (8, 1), (10, 8), (8, 9), (10, 9), (1, 3), (4, 1), (7, 2), (10, 14)]","(0, 14)","[487, 660, 815, 996, 1146, 1275, 1453, 1621, 1759, 1901, 2112, 2296, 2595, 2736]","(4, 6)","(8, 10)",0,"[(0, 14), [1, 14], [2, 14], [3, 14], [4, 14], [3, 14], [4, 14], [5, 14], [6, 14], [7, 14], [8, 14], [8, 13], [8, 12], [8, 11], [8, 10]]",Human,15,"[0.5, 0.7416775174862612, 0.7416775176684596, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
25,25,"[(-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0)]","[(-1, 13), (0, 12), (0, 11), (0, 10), (0, 9), (1, 8), (1, 7), (1, 6), (1, 5), (2, 5), (3, 5)]","(1, 12)",expCondition1,"(3, 11)",1,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0]",yujiahui-f-19,1,[5],"[(1, 13), (3, 13), (1, 11), (7, 1), (1, 1), (9, 5), (5, 7), (5, 9), (10, 11), (0, 3), (12, 14), (11, 1), (10, 8), (11, 4), (13, 12), (4, 1), (12, 11), (5, 5)]","(0, 13)","[672, 1013, 1170, 1301, 1446, 1592, 1724, 1871, 2033, 2241, 2413]","(3, 5)","(9, 11)",0,"[(0, 13), [0, 13], [0, 12], [0, 11], [0, 10], [1, 9], [1, 8], [1, 7], [1, 6], [1, 5], [2, 5], [3, 5]]",Human,12,"[0.5, 0.46456653882772325, 0.4645665390966483, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
28,28,"[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]","[(1, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (2, 10), (3, 10), (4, 10), (5, 10)]","(4, 4)",expCondition1,"(5, 5)",6,"[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0]",yujiahui-f-19,0,[],"[(3, 3), (4, 0), (3, 1), (3, 5), (5, 3), (1, 3), (0, 4), (12, 12), (13, 9), (0, 12), (5, 11), (13, 11), (2, 13), (10, 13), (12, 3), (8, 9), (9, 6), (10, 6)]","(0, 0)","[874, 1290, 1516, 1674, 1809, 1950, 2086, 2230, 2348, 2480, 2626, 2763, 3018, 3189, 3322]","(10, 5)","(5, 10)",0,"[(0, 0), [1, 0], [2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [2, 9], [2, 10], [3, 10], [4, 10], [5, 10]]",Human,16,"[0.5, 0.4998950285215499, 0.49670759334371345, 0.496707593306194, 0.4967075933020166, 0.8878257094981568, 0.8878257095119132, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
35,35,"[(-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1)]","[(13, 0), (13, 1), (12, 1), (11, 1), (10, 1), (9, 1), (8, 1), (7, 1), (6, 1), (5, 1), (5, 2), (4, 1), (4, 2), (4, 3), (4, 4), (5, 3), (5, 4)]","(11, 3)",expCondition1,"(10, 4)",4,"[0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0]",yujiahui-f-19,1,[11],"[(12, 2), (14, 2), (10, 2), (12, 0), (12, 4), (3, 4), (2, 5), (3, 1), (2, 1), (2, 6), (11, 12), (14, 11), (4, 4), (7, 5), (3, 7), (8, 7), (13, 10), (3, 10)]","(14, 0)","[495, 813, 987, 1161, 1312, 1516, 1626, 1762, 1988, 2313, 2531, 2721, 3046, 3296, 3443, 3582, 3744]","(10, 9)","(5, 4)",0,"[(14, 0), [13, 0], [13, 1], [12, 1], [11, 1], [10, 1], [9, 1], [8, 1], [7, 1], [6, 1], [5, 1], [4, 0], [4, 1], [4, 2], [4, 3], [4, 3], [5, 3], [5, 4]]",Human,18,"[0.5, 0.5072619252547286, 0.507261925259067, 0.8779335353184385, 0.8779335353316154, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
43,43,"[(-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0)]","[(-1, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 9), (1, 9), (2, 9), (3, 9), (4, 9)]","(2, 2)",expCondition2,"(4, 4)",2,"[0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0]",yujiahui-f-19,1,[6],"[(1, 1), (1, 3), (3, 1), (1, 4), (4, 1), (13, 8), (13, 4), (13, 6), (12, 5), (12, 4), (6, 13), (7, 13), (8, 7), (7, 9), (8, 11), (7, 8), (12, 9), (10, 6)]","(0, 0)","[580, 882, 1065, 1225, 1359, 1505, 1643, 1781, 1914, 2044, 2157, 2294, 2603, 2808, 2991, 3118, 3256]","(9, 4)","(4, 9)",0,"[(0, 0), [0, 0], [0, 1], [0, 2], [0, 3], [0, 4], [0, 4], [0, 5], [0, 6], [0, 7], [0, 8], [0, 9], [0, 10], [0, 9], [1, 9], [2, 9], [3, 9], [4, 9]]",Human,18,"[0.5, 0.4999983268151798, 0.7182330904408063, 0.7182330919628634, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
50,50,"[(1, 0), (0, 1), (1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]","[(1, 0), (1, 1), (3, 0), (3, 1), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 8), (3, 9), (3, 10), (4, 10), (5, 10), (6, 10)]","(4, 4)",expCondition2,"(6, 6)",6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0]",yujiahui-f-19,2,"[2, 12]","[(3, 3), (4, 0), (3, 1), (3, 5), (5, 3), (1, 3), (0, 4), (3, 6), (6, 3), (12, 13), (11, 10), (9, 11), (7, 13), (9, 7), (12, 3), (12, 9), (13, 2), (9, 13)]","(0, 0)","[550, 1016, 1231, 1495, 1719, 1917, 2227, 2368, 2488, 2619, 2749, 2874, 3017, 3125, 3258, 3456, 3631, 3749]","(10, 6)","(6, 10)",0,"[(0, 0), [1, 0], [2, 0], [3, 0], [3, 0], [2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [3, 7], [3, 8], [3, 9], [3, 10], [4, 10], [5, 10], [6, 10]]",Human,19,"[0.5, 0.499930872326376, 0.5006978584556244, 0.4806822648761741, 0.4832137689131879, 0.4832137243893836, 0.483213724214269, 0.48321372418988434, 0.7747751869016088, 0.7747751870786085, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
52,52,"[(-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1)]","[(13, 14), (13, 13), (13, 12), (13, 11), (13, 11), (13, 10), (13, 9), (13, 8), (13, 7), (13, 6), (13, 5), (13, 4), (13, 3), (12, 3), (11, 4), (10, 4), (9, 4), (9, 3)]","(11, 11)",expCondition2,"(9, 9)",4,"[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 2]",yujiahui-f-19,2,"[4, 14]","[(12, 12), (12, 14), (12, 10), (14, 12), (10, 12), (12, 9), (9, 12), (11, 1), (3, 1), (12, 2), (1, 5), (2, 2), (9, 2), (6, 8), (10, 2), (8, 8), (7, 4), (7, 8)]","(14, 14)","[591, 879, 1024, 1162, 1297, 1431, 1567, 1711, 1854, 1987, 2116, 2253, 2393, 2567, 2716, 2855, 3137, 3377]","(3, 9)","(9, 3)",0,"[(14, 14), [13, 14], [13, 13], [13, 12], [13, 12], [13, 11], [13, 10], [13, 9], [13, 8], [13, 7], [13, 6], [13, 5], [13, 4], [13, 3], [12, 4], [11, 4], [10, 4], [9, 4], [9, 3]]",Human,19,"[0.5, 0.4962495380897272, 0.4962495307210269, 0.7321512431948932, 0.7321512529534562, 0.7321512627120189, 0.9999999999999997, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
