,name,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,playerGrid,target1,target2,minSteps
0,noise0.067_softmaxBeta2.5_11,"[480, 962, 1443, 1923, 2416, 2915, 3411, 3902, 4387, 4883, 5383, 5869, 6362]","[(11, 10), [11, 9], [10, 9], [9, 9], [9, 8], [8, 8], [8, 7], [7, 7], [7, 6], [7, 5], [7, 4], [7, 3], [6, 3], [6, 2]]","[(0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2]",0,"(11, 10)","(3, 5)","(6, 2)",10
1,noise0.067_softmaxBeta2.5_11,"[567, 1041, 1523, 2000, 2473, 2950, 3443, 3933, 4447, 4936, 5434, 5918, 6403, 6892, 7378, 7861]","[(12, 13), [12, 12], [12, 11], [11, 11], [10, 11], [10, 11], [9, 11], [9, 10], [8, 10], [8, 9], [8, 8], [8, 7], [7, 6], [7, 5], [7, 4], [7, 3], [7, 2]]","[(0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[5, 12]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2]",2,"(12, 13)","(1, 8)","(7, 2)",2
2,noise0.067_softmaxBeta2.5_11,"[479, 990, 1474, 1958, 2457, 2940, 3417, 3897, 4397, 4885, 5366, 5902, 6390, 6865]","[(3, 13), [4, 13], [4, 12], [4, 11], [5, 11], [6, 11], [7, 11], [7, 10], [7, 9], [8, 9], [9, 8], [10, 8], [11, 8], [12, 8], [13, 8]]","[(1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0)]",[10],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]",1,"(3, 13)","(8, 3)","(13, 8)",10
3,noise0.067_softmaxBeta2.5_11,"[489, 982, 1483, 1995, 2497, 2989, 3479, 3973, 4463, 4955, 5449, 5964, 6469]","[(9, 4), [8, 4], [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [6, 9], [5, 9], [5, 10], [4, 10], [4, 11], [4, 12]]","[(-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]",0,"(9, 4)","(4, 12)","(1, 9)",2
4,noise0.067_softmaxBeta2.5_11,"[502, 996, 1485, 1969, 2452, 2931, 3412, 3890, 4397, 4872, 5350, 5850, 6336, 6812, 7304, 7791]","[(1, 13), [1, 12], [1, 11], [2, 11], [3, 11], [4, 11], [5, 10], [5, 9], [6, 9], [7, 9], [8, 9], [9, 10], [10, 10], [11, 10], [12, 10], [12, 9], [12, 8]]","[(0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1)]","[6, 11]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 0, 0]",2,"(1, 13)","(6, 2)","(12, 8)",2
5,noise0.067_softmaxBeta2.5_11,"[524, 1004, 1490, 1970, 2454, 2939, 3433, 3913, 4402, 4903, 5404, 5891, 6377, 6891, 7393]","[(2, 12), [3, 12], [4, 12], [4, 11], [4, 10], [4, 9], [4, 8], [4, 7], [5, 7], [6, 7], [6, 6], [6, 5], [7, 5], [7, 4], [7, 3], [7, 2]]","[(0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1)]",[1],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1]",1,"(2, 12)","(7, 2)","(12, 7)",2
6,noise0.067_softmaxBeta2.5_11,"[557, 1036, 1584, 2095, 2595, 3079, 3586, 4096, 4573, 5065, 5547, 6040, 6536, 7090, 7590, 8212, 8772, 9313, 9824]","[(13, 13), [13, 12], [12, 12], [11, 12], [12, 13], [12, 12], [11, 12], [11, 11], [10, 11], [9, 11], [8, 11], [7, 11], [7, 10], [6, 10], [6, 9], [5, 9], [4, 9], [3, 9], [3, 8], [2, 8]]","[(0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0)]",[4],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1]",1,"(13, 13)","(2, 8)","(8, 2)",6
7,noise0.067_softmaxBeta2.5_11,"[695, 1265, 1825, 2312, 2900, 3474, 3972, 4452, 4929, 5422, 5899, 6377, 6855, 7327, 7816, 8364, 8955, 9479, 10008]","[(12, 3), [11, 3], [12, 2], [11, 2], [10, 2], [11, 1], [11, 2], [11, 3], [11, 4], [10, 4], [10, 5], [9, 5], [8, 5], [7, 5], [6, 5], [6, 6], [5, 6], [5, 7], [4, 7], [4, 8]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1)]","[2, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 2, 0]",2,"(12, 3)","(7, 11)","(4, 8)",6
8,noise0.067_softmaxBeta2.5_11,"[585, 1066, 1642, 2238, 2815, 3339, 3825, 4308, 4795, 5390, 5949, 6508, 7072, 7551]","[(3, 2), [4, 2], [4, 3], [5, 3], [5, 4], [6, 4], [7, 4], [7, 5], [7, 6], [8, 6], [9, 6], [10, 6], [11, 6], [11, 7], [12, 7]]","[(1, 0), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1]",0,"(3, 2)","(12, 7)","(8, 11)",6
9,noise0.067_softmaxBeta2.5_11,"[478, 958, 1466, 2015, 2526, 3002, 3481, 3966, 4447, 4933, 5474, 5952, 6426, 6903, 7378, 7856]","[(1, 1), [1, 2], [1, 3], [2, 3], [3, 3], [4, 3], [5, 3], [6, 3], [7, 3], [8, 3], [8, 4], [9, 4], [10, 4], [10, 5], [11, 5], [11, 6], [12, 6]]","[(0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1]",0,"(1, 1)","(12, 6)","(6, 12)",6
