,name,reactionTime,trajectory,aimAction,noisePoint,noiseNumber,playerGrid,target1,target2,minSteps
0,noise0.1_softmaxBeta2.5_4,"[465, 928, 1408, 1882, 2344, 2809, 3270, 3732, 4193, 4658, 5122, 5596, 6091, 6580, 7070, 7545]","[(9, 5), [9, 6], [9, 7], [8, 7], [7, 7], [7, 6], [7, 7], [7, 8], [7, 9], [6, 9], [6, 10], [7, 11], [6, 11], [6, 12], [5, 12], [5, 13], [4, 13]]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0)]","[5, 11]",2,"(9, 5)","(4, 13)","(1, 10)",2
1,noise0.1_softmaxBeta2.5_4,"[478, 942, 1428, 1900, 2372, 2832, 3307, 3773, 4258, 4736, 5256, 5722, 6172, 6623]","[(12, 1), [12, 2], [12, 3], [11, 3], [10, 3], [9, 3], [9, 4], [9, 5], [8, 5], [7, 5], [6, 5], [5, 5], [5, 6], [4, 6], [3, 6]]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[12],1,"(12, 1)","(7, 10)","(3, 6)",2
2,noise0.1_softmaxBeta2.5_4,"[473, 956, 1429, 1911, 2369, 2857, 3334, 3816, 4290, 4779, 5249, 5734, 6207, 6697, 7174, 7639]","[(1, 13), [2, 13], [3, 13], [3, 12], [4, 12], [4, 11], [4, 10], [4, 9], [4, 8], [4, 7], [5, 7], [5, 6], [5, 5], [5, 4], [6, 4], [6, 3], [6, 2]]","[(1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1)]",[],0,"(1, 13)","(6, 2)","(12, 8)",4
3,noise0.1_softmaxBeta2.5_4,"[465, 913, 1371, 1862, 2335, 2791, 3260, 3707, 4153, 4601, 5049, 5499, 5983, 6440]","[(13, 2), [12, 2], [13, 3], [12, 3], [12, 4], [11, 4], [11, 5], [10, 5], [10, 6], [9, 6], [8, 6], [7, 6], [7, 7], [6, 7], [5, 7]]","[(-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0)]",[2],1,"(13, 2)","(8, 10)","(5, 7)",10
4,noise0.1_softmaxBeta2.5_4,"[462, 919, 1391, 1863, 2349, 2813, 3271, 3728, 4195, 4686, 5146, 5604, 6059, 6517, 6973, 7430]","[(2, 2), [2, 3], [3, 3], [4, 3], [4, 4], [4, 4], [5, 4], [5, 5], [6, 5], [6, 6], [6, 7], [6, 8], [6, 9], [6, 10], [7, 11], [7, 12], [7, 13]]","[(0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[5, 14]",2,"(2, 2)","(13, 7)","(7, 13)",10
5,noise0.1_softmaxBeta2.5_4,"[589, 1213, 1690, 2245, 2694, 3142, 3593, 4040, 4487, 4934, 5383, 5827, 6273]","[(13, 3), [13, 4], [13, 5], [12, 5], [12, 6], [11, 6], [10, 6], [10, 7], [10, 8], [10, 9], [10, 10], [9, 10], [9, 11], [8, 11]]","[(0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0)]",[],0,"(13, 3)","(8, 11)","(5, 8)",4
6,noise0.1_softmaxBeta2.5_4,"[463, 920, 1400, 1906, 2369, 2831, 3398, 3929, 4396, 4859, 5321, 5778, 6240]","[(10, 10), [10, 9], [10, 8], [9, 8], [8, 8], [7, 7], [6, 7], [5, 7], [5, 6], [4, 6], [3, 6], [2, 6], [1, 6], [1, 5]]","[(0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1)]",[5],1,"(10, 10)","(1, 5)","(5, 1)",2
7,noise0.1_softmaxBeta2.5_4,"[450, 898, 1361, 1830, 2277, 2725, 3174, 3619, 4068, 4551, 5000, 5549, 6089]","[(2, 12), [2, 11], [3, 11], [3, 10], [3, 9], [4, 9], [5, 9], [6, 9], [7, 9], [8, 9], [8, 8], [8, 7], [9, 7], [10, 7]]","[(0, -1), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0)]",[],0,"(2, 12)","(7, 4)","(10, 7)",4
8,noise0.1_softmaxBeta2.5_4,"[446, 889, 1353, 1817, 2265, 2712, 3162, 3610, 4059, 4512, 4964, 5442, 5893, 6345, 6791, 7225, 7659]","[(2, 1), [2, 2], [3, 2], [3, 3], [3, 3], [3, 2], [3, 3], [4, 3], [4, 4], [4, 5], [4, 6], [4, 7], [4, 8], [5, 8], [5, 9], [6, 9], [6, 10], [7, 10]]","[(0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (1, 0)]","[4, 5]",2,"(2, 1)","(11, 6)","(7, 10)",6
9,noise0.1_softmaxBeta2.5_4,"[454, 908, 1381, 1853, 2308, 2762, 3218, 3675, 4130, 4584, 5038, 5492, 5945, 6400, 6853, 7309]","[(11, 2), [11, 3], [11, 4], [10, 4], [9, 4], [9, 5], [9, 6], [9, 7], [9, 8], [9, 9], [8, 9], [7, 9], [7, 10], [6, 10], [5, 11], [6, 11], [6, 12]]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (1, 0), (0, 1)]",[14],1,"(11, 2)","(6, 12)","(1, 7)",6
