,name,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,playerGrid,target1,target2,minSteps
0,specailnoise0_softmaxBeta2.5_1,"[444, 883, 1326, 1770, 2213, 2647, 3086, 3523, 3960, 4394, 4873, 5310, 5744, 6183, 6617, 7055]","[(13, 12), [13, 11], [12, 11], [11, 11], [11, 10], [11, 9], [10, 9], [10, 8], [9, 8], [9, 7], [8, 7], [8, 6], [8, 5], [8, 4], [8, 3], [8, 2], [8, 1]]","[(0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2]",0,"(13, 12)","(2, 7)","(8, 1)",10
1,specailnoise0_softmaxBeta2.5_1,"[451, 895, 1360, 1809, 2252, 2693, 3134, 3578, 4058, 4501, 4945, 5418, 5872, 6319, 6760, 7205]","[(2, 2), [3, 2], [4, 2], [4, 3], [5, 3], [5, 4], [5, 5], [5, 6], [5, 7], [5, 8], [6, 8], [6, 9], [6, 10], [7, 10], [7, 11], [7, 12], [7, 13]]","[(1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0, 2, 2, 2]",0,"(2, 2)","(13, 7)","(7, 13)",4
2,specailnoise0_softmaxBeta2.5_1,"[440, 883, 1333, 1782, 2220, 2659, 3100, 3555, 3998, 4445, 4892, 5328, 5767, 6240, 6685, 7124]","[(1, 13), [2, 13], [3, 13], [3, 12], [3, 11], [4, 11], [4, 10], [5, 10], [5, 9], [6, 9], [6, 8], [6, 7], [6, 6], [6, 5], [6, 4], [6, 3], [6, 2]]","[(1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",0,"(1, 13)","(6, 2)","(12, 8)",10
3,specailnoise0_softmaxBeta2.5_1,"[442, 894, 1349, 1803, 2245, 2686, 3129, 3571, 4010, 4453, 4899, 5341, 5817, 6258]","[(2, 10), [3, 10], [4, 10], [4, 9], [4, 8], [5, 8], [6, 8], [7, 8], [8, 8], [8, 7], [9, 7], [10, 7], [11, 7], [11, 6], [11, 5]]","[(1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 2, 0, 0]",0,"(2, 10)","(7, 1)","(11, 5)",6
4,specailnoise0_softmaxBeta2.5_1,"[458, 914, 1369, 1821, 2267, 2712, 3155, 3601, 4044, 4485, 4939, 5390, 5840, 6300, 6759, 7213]","[(2, 12), [3, 12], [4, 12], [4, 11], [4, 10], [5, 10], [6, 10], [6, 9], [6, 8], [7, 8], [8, 8], [9, 8], [10, 8], [10, 7], [11, 7], [12, 7], [13, 7]]","[(1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 2, 2, 2]",0,"(2, 12)","(7, 1)","(13, 7)",6
5,specailnoise0_softmaxBeta2.5_1,"[461, 911, 1379, 1828, 2274, 2723, 3166, 3618, 4063, 4506, 4985, 5431, 5880]","[(3, 4), [4, 4], [5, 4], [5, 5], [5, 6], [6, 6], [7, 6], [7, 7], [7, 8], [7, 9], [8, 9], [8, 10], [8, 11], [8, 12]]","[(1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2]",0,"(3, 4)","(11, 9)","(8, 12)",10
6,specailnoise0_softmaxBeta2.5_1,"[444, 894, 1342, 1789, 2239, 2685, 3126, 3566, 4012, 4455, 4910, 5356, 5826, 6266, 6713, 7165]","[(13, 2), [12, 2], [12, 3], [11, 3], [10, 3], [10, 4], [10, 5], [9, 5], [8, 5], [8, 6], [8, 7], [8, 8], [8, 9], [8, 10], [8, 11], [8, 12], [8, 13]]","[(-1, 0), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",0,"(13, 2)","(8, 13)","(2, 7)",4
7,specailnoise0_softmaxBeta2.5_1,"[450, 900, 1355, 1800, 2248, 2687, 3153, 3595, 4034, 4469, 4911, 5348, 5791, 6236, 6672]","[(2, 1), [2, 2], [2, 3], [3, 3], [4, 3], [5, 3], [6, 3], [7, 3], [8, 3], [8, 4], [8, 5], [8, 6], [9, 6], [10, 6], [11, 6], [12, 6]]","[(0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1]",0,"(2, 1)","(12, 6)","(7, 11)",6
8,specailnoise0_softmaxBeta2.5_1,"[443, 880, 1329, 1777, 2216, 2669, 3107, 3543, 3979, 4416, 4855, 5292, 5730, 6168, 6611, 7047]","[(1, 13), [2, 13], [3, 13], [4, 13], [5, 13], [6, 13], [7, 13], [7, 12], [7, 11], [8, 11], [8, 10], [8, 9], [8, 8], [9, 8], [10, 8], [11, 8], [12, 8]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 2, 2, 2, 2]",0,"(1, 13)","(6, 2)","(12, 8)",2
9,specailnoise0_softmaxBeta2.5_1,"[448, 955, 1441, 1892, 2338, 2785, 3235, 3679, 4123, 4565, 5008, 5452, 5898, 6343, 6819]","[(11, 2), [11, 3], [11, 4], [10, 4], [9, 4], [9, 5], [9, 6], [8, 6], [7, 6], [6, 6], [6, 7], [5, 7], [4, 7], [3, 7], [2, 7], [1, 7]]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2]",0,"(11, 2)","(6, 12)","(1, 7)",6
10,specailnoise0_softmaxBeta2.5_1,"[437, 872, 1317, 1775, 2207, 2644, 3075, 3506, 3938, 4398, 4831, 5260, 5693, 6154]","[(1, 2), [2, 2], [3, 2], [3, 3], [3, 4], [3, 5], [3, 6], [4, 6], [5, 6], [6, 6], [6, 7], [7, 7], [8, 7], [9, 7], [10, 7]]","[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",0,"(1, 2)","(10, 7)","(6, 11)",10
