,name,reactionTime,trajectory,aimAction,noisePoint,noiseNumber,playerGrid,target1,target2,minSteps
0,noise0_softmaxBeta2.5_6,"[472, 927, 1384, 1850, 2302, 2787, 3240, 3693, 4134, 4579, 5021, 5432, 5841, 6250, 6659, 7071]","[(2, 13), [2, 12], [3, 12], [3, 11], [3, 10], [4, 10], [5, 10], [6, 10], [7, 10], [8, 10], [8, 9], [8, 8], [9, 8], [10, 8], [11, 8], [12, 8], [13, 8]]","[(0, -1), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[],0,"(2, 13)","(7, 2)","(13, 8)",4
1,noise0_softmaxBeta2.5_6,"[427, 846, 1272, 1711, 2171, 2621, 3052, 3504, 3941, 4376, 4843, 5278, 5704]","[(10, 9), [10, 8], [10, 7], [9, 7], [9, 6], [8, 6], [7, 6], [6, 6], [5, 6], [4, 6], [3, 6], [3, 5], [3, 4], [2, 4]]","[(0, -1), (0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0)]",[],0,"(10, 9)","(2, 4)","(5, 1)",4
2,noise0_softmaxBeta2.5_6,"[463, 929, 1364, 1804, 2217, 2625, 3038, 3445, 3852, 4271, 4730, 5163, 5586]","[(11, 11), [10, 11], [9, 11], [9, 10], [8, 10], [7, 10], [6, 10], [5, 10], [4, 10], [3, 10], [3, 9], [3, 8], [3, 7], [3, 6]]","[(-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]",[],0,"(11, 11)","(3, 6)","(6, 3)",4
3,noise0_softmaxBeta2.5_6,"[419, 829, 1346, 1799, 2239, 2662, 3074, 3503, 3935, 4339, 4746, 5179, 5585, 5973, 6361]","[(13, 2), [12, 2], [11, 2], [11, 3], [11, 4], [10, 4], [9, 4], [8, 4], [7, 4], [6, 4], [5, 4], [4, 4], [4, 5], [4, 6], [3, 6], [3, 7]]","[(-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (0, 1)]",[],0,"(13, 2)","(8, 12)","(3, 7)",6
4,noise0_softmaxBeta2.5_6,"[390, 778, 1167, 1587, 1980, 2367, 2753, 3137, 3521, 3904, 4289, 4675, 5058, 5443, 5830]","[(1, 1), [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [4, 4], [5, 4], [6, 4], [7, 4], [7, 5], [8, 5], [8, 6], [9, 6], [10, 6], [11, 6]]","[(0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0)]",[],0,"(1, 1)","(11, 6)","(6, 11)",4
5,noise0_softmaxBeta2.5_6,"[404, 800, 1203, 1640, 2047, 2442, 2836, 3229, 3625, 4021, 4432, 4847, 5261, 5675]","[(4, 3), [5, 3], [6, 3], [7, 3], [8, 3], [9, 3], [10, 3], [10, 4], [11, 4], [12, 4], [12, 5], [13, 5], [13, 6], [13, 7], [13, 8]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1)]",[],0,"(4, 3)","(13, 8)","(9, 12)",2
6,noise0_softmaxBeta2.5_6,"[408, 814, 1229, 1663, 2068, 2472, 2878, 3285, 3690, 4094, 4497, 4902, 5307]","[(12, 3), [11, 3], [10, 3], [10, 4], [9, 4], [9, 5], [9, 6], [8, 6], [7, 6], [7, 7], [6, 7], [5, 7], [5, 8], [4, 8]]","[(-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0)]",[],0,"(12, 3)","(7, 11)","(4, 8)",4
7,noise0_softmaxBeta2.5_6,"[413, 823, 1241, 1709, 2119, 2529, 2946, 3367, 3791, 4355, 4853, 5275, 5702, 6127, 6552]","[(13, 3), [12, 3], [11, 3], [11, 4], [10, 4], [10, 5], [10, 6], [9, 6], [8, 6], [8, 7], [8, 8], [8, 9], [8, 10], [8, 11], [8, 12], [8, 13]]","[(-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],0,"(13, 3)","(8, 13)","(3, 8)",4
8,noise0_softmaxBeta2.5_6,"[413, 845, 1274, 1701, 2113, 2540, 2963, 3370, 3772, 4174, 4576, 4979, 5383, 5788]","[(2, 2), [3, 2], [4, 2], [4, 3], [4, 4], [5, 4], [6, 4], [6, 5], [6, 6], [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [7, 11]]","[(1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],0,"(2, 2)","(11, 7)","(7, 11)",10
9,noise0_softmaxBeta2.5_6,"[421, 838, 1255, 1689, 2097, 2500, 2904, 3309, 3713, 4118, 4523, 4928, 5334, 5739, 6172, 6577]","[(13, 1), [12, 1], [11, 1], [11, 2], [10, 2], [9, 2], [8, 2], [7, 2], [7, 3], [6, 3], [5, 3], [4, 3], [3, 3], [3, 4], [2, 4], [2, 5], [2, 6]]","[(-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (0, 1)]",[],0,"(13, 1)","(8, 12)","(2, 6)",4
10,noise0_softmaxBeta2.5_6,"[400, 798, 1200, 1629, 2032, 2432, 2832, 3230, 3630, 4029, 4425, 4822, 5220, 5618]","[(13, 1), [12, 1], [12, 2], [12, 3], [11, 3], [11, 4], [11, 5], [10, 5], [9, 5], [9, 6], [8, 6], [7, 6], [6, 6], [5, 6], [4, 6]]","[(-1, 0), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],0,"(13, 1)","(8, 10)","(4, 6)",6
11,noise0_softmaxBeta2.5_6,"[411, 819, 1234, 1663, 2073, 2481, 2890, 3299, 3707, 4115, 4549, 4964, 5376, 5788]","[(4, 13), [4, 12], [4, 11], [5, 11], [6, 11], [7, 11], [8, 11], [8, 10], [8, 9], [9, 9], [9, 8], [9, 7], [9, 6], [9, 5], [9, 4]]","[(0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[],0,"(4, 13)","(9, 4)","(13, 8)",10
12,noise0_softmaxBeta2.5_6,"[417, 831, 1255, 1688, 2126, 2534, 2943, 3359, 3774, 4190, 4602, 5015, 5429]","[(11, 5), [11, 6], [11, 7], [10, 7], [9, 7], [9, 8], [9, 9], [8, 9], [7, 9], [6, 9], [5, 9], [5, 10], [4, 10], [3, 10]]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0)]",[],0,"(11, 5)","(6, 13)","(3, 10)",10
13,noise0_softmaxBeta2.5_6,"[411, 822, 1241, 1668, 2082, 2490, 2942, 3349, 3761, 4172, 4585, 4994, 5414, 5838, 6309, 6768]","[(1, 2), [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [2, 8], [3, 8], [4, 8], [4, 9], [4, 10], [4, 11], [4, 12], [4, 13], [5, 13], [6, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0)]",[],0,"(1, 2)","(12, 7)","(6, 13)",2
14,noise0_softmaxBeta2.5_6,"[460, 895, 1378, 1856, 2275, 2741, 3144, 3582, 3984, 4387, 4788, 5200, 5612]","[(1, 2), [2, 2], [3, 2], [3, 3], [3, 4], [3, 5], [3, 6], [4, 6], [5, 6], [5, 7], [6, 7], [7, 7], [8, 7], [9, 7]]","[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0)]",[],0,"(1, 2)","(9, 7)","(6, 10)",10
15,noise0_softmaxBeta2.5_6,"[434, 849, 1455, 1953, 2381, 2916, 3396, 3845, 4353, 4786, 5220, 5647, 6120]","[(5, 1), [6, 1], [6, 2], [7, 2], [8, 2], [8, 3], [8, 4], [9, 4], [9, 5], [9, 6], [10, 6], [10, 7], [10, 8], [10, 9]]","[(1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1)]",[],0,"(5, 1)","(13, 6)","(10, 9)",4
16,noise0_softmaxBeta2.5_6,"[523, 1086, 1525, 1955, 2490, 2907, 3399, 3916, 4415, 4839, 5339, 5917, 6430, 6952]","[(3, 10), [3, 9], [4, 9], [4, 8], [4, 7], [5, 7], [6, 7], [6, 6], [7, 6], [7, 5], [8, 5], [8, 4], [8, 3], [8, 2], [8, 1]]","[(0, -1), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]",[],0,"(3, 10)","(8, 1)","(12, 5)",4
17,noise0_softmaxBeta2.5_6,"[447, 886, 1478, 1974, 2437, 2943, 3400, 3807, 4220, 4656, 5082, 5510, 5922, 6338, 6809]","[(13, 1), [12, 1], [11, 1], [11, 2], [11, 3], [11, 4], [11, 5], [10, 5], [9, 5], [9, 6], [9, 7], [9, 8], [9, 9], [9, 10], [8, 10], [8, 11]]","[(-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1)]",[],0,"(13, 1)","(8, 11)","(3, 6)",6
18,noise0_softmaxBeta2.5_6,"[511, 1078, 1525, 2028, 2543, 2960, 3380, 3797, 4214, 4624, 5136, 5571, 6167, 6661, 7160, 7589]","[(12, 2), [12, 3], [12, 4], [12, 5], [12, 6], [12, 7], [12, 8], [12, 9], [11, 9], [10, 9], [10, 10], [10, 11], [10, 12], [9, 12], [8, 12], [7, 12], [7, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1)]",[],0,"(12, 2)","(7, 13)","(1, 7)",2
19,noise0_softmaxBeta2.5_6,"[415, 830, 1255, 1696, 2114, 2533, 2954, 3377, 3823, 4255, 4676, 5103, 5531]","[(4, 10), [5, 10], [6, 10], [6, 9], [6, 8], [7, 8], [8, 8], [9, 8], [10, 8], [10, 7], [11, 7], [12, 7], [12, 6], [12, 5]]","[(1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1)]",[],0,"(4, 10)","(9, 2)","(12, 5)",6
20,noise0_softmaxBeta2.5_6,"[477, 902, 1334, 1769, 2190, 2609, 3029, 3454, 3870, 4323, 4759, 5205, 5626]","[(2, 9), [3, 9], [4, 9], [4, 8], [4, 7], [5, 7], [5, 6], [5, 5], [6, 5], [7, 5], [8, 5], [8, 4], [9, 4], [10, 4]]","[(1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0)]",[],0,"(2, 9)","(7, 1)","(10, 4)",10
