,name,reactionTime,trajectory,aimAction,noisePoint,noiseNumber,playerGrid,target1,target2,minSteps
0,softmaxBeta2.5_4,"[402, 795, 1191, 1605, 2000, 2391, 2784, 3174, 3566, 3958, 4351, 4741, 5133, 5525, 5916, 6309, 6728, 7117]","[(1, 1), [1, 2], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [3, 7], [3, 8], [4, 8], [5, 8], [5, 9], [6, 9], [7, 9], [7, 10], [7, 11], [7, 12], [7, 13]]","[(0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]",[],0,"(1, 1)","(13, 7)","(7, 13)",4
1,softmaxBeta2.5_4,"[406, 798, 1197, 1612, 2010, 2402, 2794, 3189, 3582, 3975, 4370, 4761, 5156, 5548, 5939]","[(11, 2), [10, 2], [9, 2], [9, 3], [9, 4], [8, 4], [7, 4], [6, 4], [5, 4], [4, 4], [4, 5], [3, 5], [2, 5], [2, 6], [2, 7], [2, 8]]","[(-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1)]",[],0,"(11, 2)","(5, 11)","(2, 8)",6
2,softmaxBeta2.5_4,"[396, 788, 1186, 1598, 1994, 2387, 2778, 3200, 3590, 3982, 4373, 4765, 5159, 5552, 5942, 6333]","[(13, 11), [13, 10], [13, 9], [13, 8], [13, 7], [13, 6], [13, 5], [12, 5], [11, 5], [10, 5], [9, 5], [9, 4], [9, 3], [9, 2], [8, 2], [7, 2], [7, 1]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1)]",[],0,"(13, 11)","(3, 5)","(7, 1)",2
3,softmaxBeta2.5_4,"[392, 782, 1173, 1582, 1978, 2368, 2757, 3144, 3531, 3922, 4312, 4701, 5091, 5479, 5868, 6258]","[(2, 1), [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [8, 1], [8, 2], [8, 3], [8, 4], [8, 5], [9, 5], [10, 5], [11, 5], [12, 5], [12, 6], [12, 7]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1)]",[],0,"(2, 1)","(12, 7)","(8, 11)",2
4,softmaxBeta2.5_4,"[396, 791, 1188, 1603, 2001, 2394, 2789, 3182, 3604, 3998, 4392, 4788, 5179, 5575, 5968, 6359, 6754]","[(13, 2), [12, 2], [11, 2], [10, 2], [9, 2], [8, 2], [7, 2], [7, 3], [6, 3], [6, 4], [6, 5], [6, 6], [6, 7], [6, 8], [5, 8], [4, 8], [3, 8], [2, 8]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],0,"(13, 2)","(7, 13)","(2, 8)",2
5,softmaxBeta2.5_4,"[392, 782, 1177, 1586, 1983, 2374, 2762, 3153, 3541, 3932, 4321, 4709, 5098, 5488, 5878]","[(3, 13), [3, 12], [4, 12], [4, 11], [4, 10], [4, 9], [4, 8], [4, 7], [5, 7], [5, 6], [6, 6], [7, 6], [7, 5], [7, 4], [8, 4], [9, 4]]","[(0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0)]",[],0,"(3, 13)","(9, 4)","(12, 7)",4
6,softmaxBeta2.5_4,"[398, 795, 1197, 1613, 2015, 2411, 2807, 3203, 3600, 3998, 4394, 4790, 5188, 5583, 5980]","[(12, 10), [11, 10], [10, 10], [9, 10], [8, 10], [7, 10], [6, 10], [6, 9], [6, 8], [5, 8], [5, 7], [5, 6], [4, 6], [4, 5], [4, 4], [3, 4]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0)]",[],0,"(12, 10)","(3, 4)","(6, 1)",2
7,softmaxBeta2.5_4,"[392, 781, 1175, 1585, 1979, 2369, 2790, 3182, 3571, 3964, 4354, 4743, 5134, 5525, 5915, 6306]","[(2, 13), [2, 12], [3, 12], [4, 12], [5, 12], [6, 12], [7, 12], [8, 12], [9, 12], [10, 12], [11, 12], [11, 11], [11, 10], [11, 9], [11, 8], [12, 8], [12, 7]]","[(0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1)]",[],0,"(2, 13)","(8, 3)","(12, 7)",4
8,softmaxBeta2.5_4,"[386, 773, 1162, 1568, 1962, 2348, 2735, 3123, 3509, 3897, 4281, 4670, 5055, 5442, 5831]","[(13, 13), [12, 13], [11, 13], [10, 13], [9, 13], [8, 13], [7, 13], [7, 12], [7, 11], [7, 10], [7, 9], [6, 9], [5, 9], [5, 8], [5, 7], [4, 7]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0)]",[],0,"(13, 13)","(4, 7)","(7, 4)",2
9,softmaxBeta2.5_4,"[393, 788, 1184, 1597, 1999, 2391, 2783, 3177, 3567, 3961, 4353, 4777, 5169, 5562, 5958]","[(2, 3), [2, 4], [2, 5], [3, 5], [4, 5], [4, 6], [4, 7], [5, 7], [6, 7], [7, 7], [7, 8], [8, 8], [9, 8], [10, 8], [10, 9], [11, 9]]","[(0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0)]",[],0,"(2, 3)","(11, 9)","(8, 12)",6
10,softmaxBeta2.5_4,"[396, 788, 1186, 1598, 1994, 2385, 2778, 3170, 3564, 3957, 4350, 4745, 5136, 5526, 5919, 6311]","[(3, 2), [4, 2], [5, 2], [5, 3], [5, 4], [5, 5], [5, 6], [6, 6], [7, 6], [8, 6], [9, 6], [9, 7], [10, 7], [10, 8], [11, 8], [12, 8], [13, 8]]","[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0)]",[],0,"(3, 2)","(13, 8)","(9, 12)",6
11,softmaxBeta2.5_4,"[391, 783, 1177, 1590, 1987, 2376, 2795, 3185, 3577, 3968, 4355, 4745, 5133, 5525, 5915, 6303, 6691, 7076]","[(1, 13), [2, 13], [3, 13], [3, 12], [3, 11], [3, 10], [3, 9], [4, 9], [5, 9], [5, 8], [5, 7], [6, 7], [7, 7], [7, 6], [7, 5], [7, 4], [7, 3], [7, 2], [7, 1]]","[(1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[],0,"(1, 13)","(7, 1)","(13, 7)",6
