,name,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,playerGrid,target1,target2,minSteps
0,specailnoise0.067_softmaxBeta2.5_8,"[475, 946, 1426, 1900, 2373, 2845, 3316, 3787, 4262, 4733, 5204, 5677, 6148, 6622, 7093]","[(11, 1), [11, 2], [11, 3], [10, 3], [9, 3], [9, 4], [8, 4], [7, 4], [7, 5], [6, 5], [5, 5], [6, 6], [5, 6], [4, 6], [3, 6], [2, 6]]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 2, 2]",special,"(11, 1)","(6, 10)","(2, 6)",10
1,specailnoise0.067_softmaxBeta2.5_8,"[477, 946, 1430, 1904, 2374, 2842, 3313, 3785, 4261, 4773, 5245, 5718, 6193, 6689, 7188]","[(2, 1), [2, 2], [3, 2], [4, 2], [4, 3], [5, 3], [6, 3], [6, 4], [6, 5], [6, 6], [6, 7], [7, 6], [8, 6], [9, 6], [10, 6], [11, 6]]","[(0, 1), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 1, 1]",special,"(2, 1)","(11, 6)","(7, 10)",10
2,specailnoise0.067_softmaxBeta2.5_8,"[551, 1044, 1552, 2064, 2542, 3018, 3500, 3978, 4456, 4930, 5409, 5884, 6362, 6837, 7314]","[(13, 10), [13, 9], [13, 8], [12, 8], [11, 8], [10, 8], [9, 8], [9, 7], [9, 6], [9, 5], [9, 4], [8, 5], [7, 5], [6, 5], [5, 5], [4, 5]]","[(0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 1, 1, 1]",special,"(13, 10)","(4, 5)","(8, 1)",10
3,specailnoise0.067_softmaxBeta2.5_8,"[501, 998, 1488, 1968, 2443, 2919, 3391, 3869, 4348, 4851, 5329, 5807, 6316, 6794, 7271]","[(2, 11), [2, 10], [3, 10], [4, 10], [4, 9], [4, 8], [4, 7], [5, 7], [6, 7], [6, 6], [6, 5], [7, 6], [7, 5], [7, 4], [7, 3], [7, 2]]","[(0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",special,"(2, 11)","(7, 2)","(11, 6)",10
4,specailnoise0.067_softmaxBeta2.5_8,"[523, 997, 1481, 1957, 2428, 2900, 3373, 3845, 4315, 4789, 5263, 5736, 6208, 6679, 7148]","[(12, 1), [11, 1], [11, 2], [11, 3], [10, 3], [10, 4], [10, 5], [9, 5], [8, 5], [8, 6], [8, 7], [7, 6], [6, 6], [5, 6], [4, 6], [3, 6]]","[(-1, 0), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2]",special,"(12, 1)","(7, 10)","(3, 6)",10
5,specailnoise0.067_softmaxBeta2.5_8,"[491, 974, 1462, 1967, 2460, 2939, 3422, 3929, 4411, 4895, 5410, 5892, 6405, 6885, 7369]","[(11, 4), [10, 4], [10, 5], [10, 6], [9, 6], [9, 7], [8, 7], [8, 8], [7, 8], [6, 8], [5, 8], [6, 9], [5, 9], [4, 9], [3, 9], [2, 9]]","[(-1, 0), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2]",special,"(11, 4)","(6, 13)","(2, 9)",10
6,specailnoise0.067_softmaxBeta2.5_8,"[490, 966, 1453, 1945, 2425, 2902, 3381, 3862, 4342, 4821, 5301, 5797, 6280, 6757, 7235]","[(12, 4), [12, 5], [11, 5], [11, 6], [10, 6], [9, 6], [9, 7], [9, 8], [8, 8], [7, 8], [6, 8], [7, 9], [7, 10], [7, 11], [7, 12], [7, 13]]","[(0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]",11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 1, 1, 1]",special,"(12, 4)","(7, 13)","(3, 9)",10
7,specailnoise0.067_softmaxBeta2.5_8,"[483, 956, 1429, 1912, 2382, 2854, 3326, 3804, 4277, 4746, 5212, 5684, 6158, 6630, 7100, 7567]","[(13, 13), [13, 12], [12, 12], [11, 12], [11, 11], [10, 11], [9, 11], [9, 10], [9, 9], [9, 8], [8, 8], [8, 7], [8, 8], [7, 8], [6, 8], [5, 8], [4, 8]]","[(0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 1, 1, 1]",special,"(13, 13)","(4, 8)","(8, 4)",10
8,specailnoise0.067_softmaxBeta2.5_8,"[509, 981, 1460, 1936, 2406, 2869, 3339, 3810, 4282, 4754, 5228, 5700, 6173, 6674, 7165, 7662]","[(2, 12), [3, 12], [3, 11], [3, 10], [4, 10], [5, 10], [5, 9], [6, 9], [6, 8], [7, 8], [7, 7], [7, 6], [7, 7], [8, 7], [9, 7], [10, 7], [11, 7]]","[(1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0)]",12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2]",special,"(2, 12)","(7, 3)","(11, 7)",10
9,specailnoise0.067_softmaxBeta2.5_8,"[476, 950, 1425, 1903, 2400, 2876, 3358, 3839, 4311, 4783, 5257, 5733, 6206, 6712, 7183]","[(13, 11), [13, 10], [13, 9], [12, 9], [11, 9], [10, 9], [10, 8], [10, 7], [9, 7], [9, 6], [9, 5], [8, 6], [8, 5], [8, 4], [8, 3], [8, 2]]","[(0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2]",special,"(13, 11)","(4, 6)","(8, 2)",10
